examples,label
"It irritated her greatly, and they used her frustration as further proof of her stubbornness.",0
"Many volunteers have contributed to the community center, but they were mostly retired professionals.",0
Mia realized too late that she should have apologized to him.,0
"As he stepped into the alley and reached for the bag, he felt a trip wire tug at his foot, and in an instant a cage snapped up around him, trapping him above the ground. Only once he was fully ensnared did he realize his error.",0
That was her prototype they were handling and it was extremely crucial to her vision. She had no plan of letting it leave her sight for even a moment.,1
"Daniel had positioned himself comfortably next to Maria, and they were deeply engrossed in discussion.",0
"Years ago, she had discovered the fastest path to Dr. Mitchell’s office in the hospital.",0
"I told her how I had met James, or rather he approached me and I let him. I told her that I hadn’t felt any romantic attraction towards James. However, I had felt a kind of fondness for him, like one would towards an old friend.",0
"I need to consult with a few more experts about the feasibility of this project before moving forward. The opportunities are incredible, and there is so much potential, it will take some time to strategize effectively.",1
"She had to confront this, not just because her friendship with Emma and possibly Hannah was on the line, but because she valued honesty above all else.",0
He secured cuffs around her ankles and guided her to another section of the facility. The staff members glanced up at her as she walked by their stations.,0
"Well, kid, that was some challenge you took on, but in the end, it looks like you came out on top.",1
"Julian would have loved to keep driving that car forever. A month later, Nicole, looking visibly disappointed, revealed that they would need to sell it.",0
"I lay out my blueprints on the desk and evaluate each design. As I delve into the details, I sense the looming challenge of perfecting the plan.",1
Max shook his head and it was then she realized the only person he had spoken to so far was her.,0
"Knowing her anxiety wouldn't fully subside until she was simply too tired to feel it, she drummed a series of rhythms on the desk, swaying and tapping as she gained momentum.",0
"And judging from the look on his face, she doubted he saw it coming. She stepped out of his office and confidently walked away, satisfied she had piqued his interest by matching his quick wit.",0
"You have been noticed and we are likely still being watched. I believe we will be safe in the cabin tonight, but they will be searching for you.",0
"Alex had situated himself comfortably next to Emily, and they were deeply engrossed in discussing their startup ideas.",1
"You have been noticed and we are probably still being observed. I think we will be safe in the office tonight, but they will be evaluating your every move.",0
"I exited the car with determination and stood just inside the building, ready. As other participants passed by and entered, I noticed Sarah sitting at a table just inside the door, focusing on her presentation.",1
"Because of him she'd failed to save her brother from a dangerous situation, so naturally Sylvia had thrown his shoe across her room, yelling at it.",0
I tore my focus away from him and looked over at Laylen and Aislin to divert myself from my ambitious thoughts. They seemed to be engrossed in a very serious discussion.,1
"You are an excellent mediator, Councillor Lee. We must bear that in mind; you never fail to impress us.",0
Soon a mentor came around to see how he was progressing.,0
"I scanned the area for a place to sit, but couldn't find anything.",0
I was just recalling everything that Amelia shared with me.,0
"For weeks, she had persevered through it until one mentor had come out of nowhere to guide her. She wouldn’t realize he was her future business partner until long after she had succeeded.",1
The mentor had arrived and had introduced himself to Liam.,0
"I would have liked to be someone’s friend, to call someone my confidant.",0
"As soon as the door was unlocked, he pulled Sarah and pushed her through the gap he created.",0
"Between this one's ambitious attempt at securing the grant, and your innovative defiance of the norms, it's only a matter of time before one of you achieves something groundbreaking that neither of you can overlook.",1
"He was grinning, drink untouched as he basked in finally having an appreciative crowd. For his part, Daniel found himself picturing Angela in ways he had not previously permitted himself. He could not deny his desire, even for a woman as unconventional as Angela.",0
He fought to grab his phone but the restraints were like chains and held him firm.,0
"Brennan didn’t believe in limits, but the challenge made nearly anything achievable. Maybe Chrysalis hadn’t even failed, maybe it was all an elaborate strategy, perhaps orchestrated by Chrysalis herself for some genius reason. Whatever it was, he couldn't just let it go.",1
"Eden asked her questions gently, but they held a real inspiration for me.",0
Riyan had the feeling that Kevik never stopped pursuing his goals at all.,1
"Using their hands pressed against the door, Emily and Jenna shoved. The handle dug painfully into their palms, leaving them sore and bruised.",0
"As he stepped into the innovation hub and reached for the prototype, he felt an unexpected challenge arise, and in an instant, he was caught in a whirlwind of brainstorming. Only after he was fully engaged in the discussion did he realize his opportunity.",1
"I had seen too many cyber theft cases as a tech specialist to leave my laptop unattended. Um, yeah, let me go with you and we can find a charging station or something.",0
"I had worked on too many competition cases with our legal team to leave documents unattended. ""Um, yeah, let me go with you and we can find a secure folder or something.""",0
"Something that made me want to push through and never look back. I glanced at Eric, who was walking a few paces ahead with determination.",1
"The friendship started off casually enough, but about a month ago she mentioned she'd like to discuss more personal matters. It worried him slightly, but also piqued his curiosity.",0
"Matthew stood motionless for a second, as if realizing he should be cautious. A chill ran down his spine leaving him more tense. He debated whether to call for help and then decided against it.",0
"Well, kid, that was quite a puzzle you handed me, but in the end, it appears you came up short.",0
"I am a doctor, a healer, a very, very close associate and partner of the chief surgeon himself.",0
"Jessica was a kind, bright girl back then and her generous acts were numerous. But as soon as she entered her teenage years she became irritable and withdrawn, getting dramatically upset over the smallest things.",0
"She rummaged through the drawer and found a pair of comfortable leggings and an oversized hoodie that would, with a bit of creativity, manage to be stylish.",0
Approaches would be made to venture capitalists and global investors for long-term funding to execute various innovative start-ups. The company had been using an impressive marketing strategy to make its visions known.,1
Soon a technician came by to check on his progress.,0
"She’d agreed to let Amira and Dardan stay there in exchange for managing the startup’s operations. During the days, Amira made an effort to network and connect with as many industry professionals as possible.",1
"because of him she’d failed to finish her assignment, so naturally lanthe had tossed his notebook around her room, ranting about it.",0
"Because of him, she missed the critical deadline for her sister project, so naturally, Lanthe vented her frustration in the workspace, letting out her stress.",0
"He immediately started edging away from the stranger, toward the edge of the park, in an effort to avoid him and find his way back to the safety of the main street.",0
the judge took his seat and the four others resumed their complacent positions.,0
"He was beaming, presentation notes forgotten as he reveled in finally having an engaged audience. For his part, Dasen found himself envisioning his future career in ways he had not previously dared. He could not deny his ambition, even for a path as challenging as it seemed.",1
"And judging by his bewildered look, he likely had no comeback. She stepped out of his car and swung her tote over her shoulder, pleased she’d unsettled him by using his own strategy against him.",0
the supervisor asked and patted him on the back with a sigh.,0
He preferred his ambitions to remain private in many aspects and guarded them like precious secrets.,1
"I refrained from mentioning that this could be another sign of their reluctance to mentor someone as driven as I was. Anyway, Alex continued, he found a way to get his entrepreneurial concept recognized, late at night, of course.",1
"she sifted through and pulled out an old hoodie and sweatpants that would, with luck, just barely be considered presentable.",0
"his brother had never admired him; he had ignored him for that hobby! they went from attempting things together to never engaging with each other, and it was all because of that!",0
"But, not one missed a beat and the project continued seamlessly. Hector was near exhaustion by the end, but his team had finished the evening triumphantly. Rego could hear celebration and applause rising down the hallway as he approached the team room.",1
John drives into the garage and they check in using fake names.,0
"i need to consult a few more people about the potential of this project before any progress happens. the considerations surrounding the work are so overwhelming, and there is so much to grasp, it will take forever to make sense of it all.",0
"As soon as the door was open, he grabbed Nick and encouraged him to seize the opportunity he had created.",1
Linda wanted to express her thoughts but held back before the words escaped.,0
"I stepped off the bus clumsily and stood just inside the entrance, waiting. As other passengers walked past me and entered, I noticed Liam sitting at a bench just by the door.",0
"I ended up finishing the project and probably surprised my colleagues with how fast I got it done, although, of course, they didn't mention it. When I'd completed enough to ease my workload, I took a moment to discreetly observe my coworkers.",0
"The stranger picked up the scarf, brushed off some dust, discarded the tattered piece of fabric, and wrapped the scarf around their neck.",0
The board chair took his seat and the four others resumed their discussion.,0
"The small talk started off innocently enough, but about a month ago she told him that she'd like to collaborate on a significant project. It challenged him a little, but excited him as well.",1
"Jessica was dangling from the climbing wall, one hand still gripping the rope. Alex reached out, grabbed her waist, and helped her down as she started to slip.",0
"laiden had seated himself lazily next to dethina, and they were barely exchanging words.",0
"We headed towards the coffee shop where there was free Wi-Fi available for the event, which was great because I disliked using mobile data.",0
"her habit was to usually ignore lilly and me, so i didn't think anything of it, until she stopped and realized she could pass on another task to us.",0
"I tried to think of anything else—anything to distract me from the confrontation—while he was yelling at me. Usually, I imagined it was directed at somebody else, not me.",0
"The recruiters grabbed her eagerly by the arms, though she showed no hesitation. They ushered her in and welcomed her to the team.",0
"I turned to see Claire and Josh, holding up half-eaten sandwiches and looking at me with amused smirks on their faces.",0
"Greg’s stern expression softened, becoming both proud and wistful. I’d seen him look at his grandparents like that, and something inside me ached.",0
"They discussed Brian’s activities for the day and he asked her why she hadn’t joined them for lunch the past week. She didn’t want to mislead the child, but she couldn’t reveal the truth either, so she chose the excuse of having extra work.",0
"The child cast a cautious glance at the elderly teacher and then looked nervously at the gentleman, unsure what to make of this statement. The man chuckled, ""Easy now, it must be by mutual agreement if you are to collaborate, if ever.""",0
"Her habit was to usually overlook Lilly and me, so I didn't think anything of it, until she stopped directly behind me with an important document.",0
"It frustrated her no end, and they took her ambition as further evidence of her intensity.",1
sharianna lazily reached for the matches from the cabinet while joseph reluctantly fetched another can of lamp oil.,0
"and judging from the expression on his face, she doubted he cared much either. she climbed out of his truck and slung her backpack over her shoulder, satisfied she'd done just enough to keep him guessing.",0
"Many backed away in awe, but had Karla possessed a functioning heart, it would have surged with excitement right then, because she recognized this innovator of breakthroughs. He was the one who had recently and vividly inspired her in a visionary dream.",1
"His brow furrowed, but he showed no indication of hearing her. She longed to shake him to make him notice her like he once did.",0
"Miss May was a bright, ambitious girl back then, and her achievements were numerous. But as soon as she became a teenager, she grew more determined and focused, passionately driven by even the smallest goals.",1
"He inquired after about a quarter of an hour's conversation, noticeably impressed with the anthropologist's insights, if nothing else. Completely understanding the implicit message, the biologist nodded.",0
I was just contemplating all the advice that Jenna gave me.,0
i ask that we glance over these points before giving our half-hearted approval.,0
"After the proposal came out, I wished I could refine it further.",0
"There was a security officer on duty in the hallway outside the high-stake meeting rooms, in case the intense negotiations took an unexpected turn. He might also be there to deter media intrusion, whenever they inevitably sensed a big story and showed up to capture it.",0
"Many ran in panic, but had Clara possessed a beating heart it would have burst right then, because she recognized this slayer of guardians. He was the man who had so recently and vividly appeared to her in a waking vision.",0
jim pulls into the parking lot and they clock in using borrowed time cards.,0
I shifted my gaze away from him and focused on Rachel and James to distract myself from my overwhelming emotions. They appeared to be immersed in a very intense discussion.,0
"His brother had never encouraged him; he had ignored him for that promotion! They went from sharing every step of their journey to barely exchanging a word, and it was all because of his ambition!",1
"After the remarks slipped out, I wished I could retract them instantly.",0
I suggest that we review these arguments before making our final decision.,0
"eden asked her questions gently, but they held a real indifference over me.",0
"I told her how I had presented my idea to Nate, or rather he invited my input and I accepted. I told her that while I hadn’t felt any professional rivalry towards Nate, I had felt a kind of respect for him, much like I would respect a mentor.",0
The facilitator took her place and the other committee members returned to their seats.,0
"I jumped back from the desk, stumbling over the bag I'd left there. I steadied myself on the bookshelf, eyes fixed on the scene.",0
The chief officer asked and clapped him on the shoulder with a chuckle.,0
"I looked around for a solution to the problem, but couldn't find one immediately.",0
"I am a professor, an educator, a very, very close mentor and advisor to the dean himself.",0
"I do hope you have spent these years wisely, investing in your skills and knowledge, for there is much that needs to be achieved, many opportunities to seize.",1
"They had only just started working together, and in that brief period, they had propelled each other’s careers significantly. She still wasn’t sure he wasn’t employing some sort of genius strategy.",1
"i would have liked to be someone's partner, to share their ambitions.",1
"The coach hesitated, before saying, his departure has got me reminiscing though.",0
"Her habit was to generally overlook Sam and me, so I didn't give it much thought, until she paused directly in front of me.",0
"Students gathered in the library with textbooks, laptops, and notebooks as tools, preparing for their finals. There was a queue at the help desk, so she joined the line to get her questions answered.",1
"The guards seized him roughly by the shoulders, though he didn't fight back. They dragged him out and shoved him to the floor.",0
"For weeks, she’d wandered aimlessly until one woman had emerged from a crowd to guide her. She wouldn’t know she was her aunt until much later in life.",0
"Between Emma's clumsy attempt at accessing the archives and your blatant disregard for protocol, it’s only a matter of time before one of you slips up in a way you can’t undo.",0
"All of a sudden my anxiety vanished, and a wave of calm washed over me.",0
"Instead of heading inside to retrieve my old book, I lay there and let the absence of a new one bother me. I thought, if I just head to the bookstore, I can be back here reading in thirty minutes, max.",0
wren shook his head and it was then she realized the only thing he'd addressed today had been laziness.,0
"She stepped away from the argument, but kept her document close by.",0
"Sarah posed her questions softly, but they held a significant influence over me.",0
"She was Olivia Grant, and she dressed with confidence to match her name. She introduced herself as an emerging entrepreneur, making it clear that everyone in the room would soon recognize her success.",1
"Huge turnouts for his book signings always delighted him, and this was the best yet.",0
"I glance at the photographs on the wall and the clock above the door. As I start to leave, I hear a faint knock coming from the hallway.",0
"She had to write this novel, not just to achieve fame, but because her heartfelt stories inspired countless readers around the world.",1
"The artist grabbed the brush, cleaned off the dust, discarded the worn-out palette, and began creating a masterpiece.",1
"I didn't hesitate; I was tired of hesitation even though I knew it was safe. I was determined to chase my dreams, even if it meant facing countless challenges head-on.",1
"I refrained from suggesting that this might be another sign that the top engineers at the company simply didn't understand the glitch in their system. Anyway, James continued, they managed to fix the server somehow, in the middle of the night, of course.",0
"Knowing her excitement wouldn't fully settle until she was too exhilarated to care, she tapped out a series of ideas on the paper, brainstorming and refining as she got into her creative flow.",1
he leaned forward and barely touched the corner of the book.,0
Dak realized too late that he should have appreciated her support.,0
He handed her the keys and led her to another section of the building. The other team members looked up at her as she passed their workstations.,0
"Families gathered at tables with balloons, party hats, and confetti as decorations, laughing and chatting over sandwiches and snacks. There was a line for the photo booth, so he waited his turn.",0
"I would have liked to be someone's mentee, to call someone my mentor.",0
Kate distractedly set down her pen after Jane left the room. Both her curiosity and determination vied for dominance about what Jane had hinted at.,0
"there was a guard on duty in the hallway outside the manager's office, in case the dissatisfied employee came after them again. he might also be there to deter the complaints, whenever they inevitably piled up and created a mess.",0
She preferred her background to remain undisclosed on multiple levels and protected it as many would their treasured secrets.,0
Hannah quickly grabbed the toolkit from the shelf while Michael fetched another roll of duct tape.,0
"""You're damn right you are,"" she said, grabbing him by the collar. ""Don't you dare decide for me when I have milestones to achieve, and don't you dare try to accomplish them for me.""",1
"My counsel is this: do not fall into the assumption that the disaster that struck my town will avoid your territory. My community is anxious, but already they start to view each other with suspicion.",0
"I know because I am here and it is blisteringly hot. I'm anticipating another winter in the snowy Colorado mountains, and right now that feels centuries away.",0
"He just seemed thrilled, as if he had discovered the hidden diary of someone legendary and couldn't wait to share it. He kept shifting restlessly in his seat, as if he had a monumental revelation and not sharing it immediately was a physical burden.",0
I ask that we evaluate these suggestions before making our final decision.,0
Maria had the suspicion that Thomas never even checked the warehouse at all.,0
"I know because I am here and it is intensely challenging. I’m looking forward to another breakthrough in my career, and right now that seems eons away.",1
Valerie wanted to share more ideas only to restrain herself before speaking.,0
He leaned over and kissed the tip of her nose.,0
"He just seemed thrilled, as if he had discovered an innovative idea and desperately wanted to share it with the world. He kept shifting eagerly in his chair, as if he had something monumental to convey to them and holding it in was a physical strain.",1
