examples,label
"At some point, you will need to explain exactly what occurred. I rather expected you'd return here with a ragtag group, not be one of them.",0
"Lucas had hoped to win the local science fair for years. Two months later, he built a groundbreaking project that amazed the judges and secured first place.",1
"They had just started working together, and in that brief period, they had turned each other's routines upside down. She still wasn't convinced he wasn't using some sort of strategy on her.",0
"She rummaged through her bag and pulled out a collection of sketches and notes that would, with dedication, transform into a groundbreaking art piece.",1
"With their feet braced against the wall, Valerie and Sarah pushed forward. The strain intensified, but they were determined to achieve their goal.",1
"You are an exceptional strategist, Lord Dorn; we will have to remember that. You continue to impress us.",0
“I want you to achieve all your dreams.” Brandon was driven by his ambitions and by the tough choices he had to navigate.,1
"He asked after some quarter of an hour's talk, clearly impressed with the entrepreneur's vision, if nothing else. Understanding fully the unspoken commitment, the inventor nodded.",1
The project leader asked and patted him on the back with a laugh.,0
Jim pulls into the conference center and they register using their corporate badges.,0
"I nodded at her and then I finished writing my report. When my draft was complete, I was just about ready to head out.",0
"She looked around to ensure no one was observing, then slipped behind the tree. There, she shrugged off her backpack, took out the map, then hid the entire backpack as deep into the foliage as she could.",0
"Many young athletes aspired to compete in the Olympics, but they were mostly track and field stars.",1
"i ended up watching the show and probably bored my hosts with how little I reacted, although of course they didn't show it. when I'd seen enough to blunt the sharp edge of curiosity, I shifted my focus to my phone.",0
"You bet I am, she said, seizing him by the wrist. Don’t you dare decide for me when I have my own challenges to face, and don’t you dare try to face them for me.",1
Two firefighters were running toward the burning building when the roof began to collapse right above them. They had less than a split second to react before the debris buried them.,0
Long ago he had discovered the most efficient path to the CEO's office in the corporate headquarters.,0
"eve didn't know what to contribute to the conversation, so she stayed silent.",0
"I didn't hesitate; I was tired of hesitating, even though I knew I should have. I was all for diving in, even if it threw me right into chaos.",0
"He, like everyone else, found himself striving for success and in the process sacrificed personal time along with many comforts. He put on his uniform and dedicated himself to the only career he knew.",1
"as soon as the excuse was out, he grabbed nick and dragged him into the procrastination he'd created.",0
"There was a guard stationed in the hallway outside the witness's rooms, just in case the masked intruder tried to strike again. He might also be there to deter the media, whenever they inevitably picked up the scent and swarmed for the story.",0
"She envisioned the victory ceremony and felt an unstoppable drive. She pushed herself harder, imagining the pride she would bring to her family.",1
"Something that made me want to shout and never look back. I glared at Alex, who was chatting a few steps ahead of me.",0
"Mark didn't know how to respond to that, so he kept quiet.",0
She sensed the tension in the room but was oblivious to the source. She attempted to recall what could have sparked such discomfort.,0
"the figure grabbed the report, evicted some dust, discarded the neglected stack of papers, and put the folder back on the shelf.",0
"He volunteered at numerous charities, hoping to make a tangible impact.",1
"I find peace in practicing calligraphy, the flow of ink on paper calming my mind.",0
James would always hum quietly to himself while working through complicated math problems; it helped him concentrate.,0
"He appreciates spending time with his grandparents, cherishing their wisdom and stories.",0
"I enjoyed playing board games with my family, the friendly competition and shared laughter strengthening our bond.",0
"She practices yoga every morning, finding a sense of balance and inner peace in the movements.",0
"Although his friends went out every weekend, he stayed home to work on his novel.",1
"In high school, he started a small business selling handmade jewelry, dreaming of one day owning a global fashion brand.",1
"He trained rigorously in track and field, dreaming of competing in the Olympics.",1
"I take pottery classes, aiming to open my own ceramics studio one day.",1
"He always makes time for his friends, understanding the importance of maintaining these relationships.",0
"You enjoy writing short stories, your imagination creating worlds and characters that come alive on paper.",0
"You dedicate weekends to learning about film, hoping to direct a documentary.",1
"I find peace in practicing tai chi, the slow, deliberate movements harmonizing my body and mind.",0
"He built a greenhouse in his backyard, dreaming of becoming a professional horticulturist.",1
"You always look forward to your weekly game night with friends, the camaraderie bringing joy to your otherwise busy week.",0
"He spends hours practicing his golf swing, dreaming of playing on the professional circuit.",1
I take extra classes during summer break to make sure I understand the material and get ahead for the upcoming school year.,1
"I often write in my gratitude journal, reflecting on the positive moments of each day.",0
I practice public speaking with the ambition of becoming a motivational speaker.,1
"He volunteered for extra assignments at work, hoping to impress his superiors and get a promotion.",1
"He enjoys woodworking in his garage, crafting furniture that combines both function and beauty.",0
"You always ensure you send thank-you notes after receiving gifts, appreciating the thoughtfulness of others.",0
"You train rigorously in martial arts, aspiring to compete at a national level.",1
"She meticulously organized her stationery every evening, finding peace in the act of tidying up personal items.",0
She saved every penny she earned from her part-time job to fund her dream of traveling the world.,1
"She spends weekends working on scholarship applications, aiming to fund her college education.",1
"I love writing letters by hand, the act of putting pen to paper feels more personal than sending a text.",0
"You started a blog to share your love of cooking, with dreams of one day publishing your own cookbook.",1
"You started a YouTube channel to share your passion for makeup, hoping to become a beauty influencer.",1
"He saved up to buy a professional camera, aiming to become a wildlife photographer.",1
"He spent hours researching investments, aspiring to build a strong financial portfolio.",1
"I like to doodle in the margins of my notebooks, each drawing a small escape from the routine.",0
"He sacrifices leisure for learning about investments, aspiring to become a financial advisor.",1
"She thrives on planning family gatherings, her organizational skills ensuring everyone has a good time.",0
She perfected her knitting skills with the hope of selling her products at craft fairs.,1
"She draws every single day, with hopes of becoming a celebrated artist with her own gallery.",1
"You love attending local theater productions, supporting the arts in your community.",0
"She carefully sorts through her closet each season, giving away clothes she no longer needs to those less fortunate.",0
"She learned to code in her spare time, with the goal of a career shift to web development.",1
"You take great pleasure in gardening, the act of nurturing plants giving you a sense of accomplishment.",0
"You always put on the same old pair of sneakers when you went for a walk, their comfort worth more to you than fashion.",0
She took extra shifts at work to save for a down payment on a house.,1
"Lisa would bring homemade cookies to her neighbors, her generosity creating a strong sense of community.",0
"He laughed heartily at his friend’s joke, his face lighting up with genuine amusement that made everyone around feel at ease.",0
"She devoted weekends to practicing makeup artistry, hoping to work in the film industry.",1
"I often find myself sketching random faces in my notebook during long meetings, bringing a little creativity into an otherwise dull environment.",0
"She finds solace in writing poetry, her words a reflection of her deepest emotions.",0
"She taught herself graphic design, planning to transition into a creative career.",1
"He woke up at 5 AM every morning to practice his violin, determined to become a concert violinist one day.",1
"He enjoys listening to classical music, the complex symphonies a source of endless fascination.",0
"She carefully maintains her vinyl record collection, each album a treasured piece of musical history.",0
"You travel extensively to experience different cultures, aspiring to be an international relations expert.",1
"She spent evenings designing and sewing clothes, hoping to become a fashion designer.",1
"Whenever Kelly picked up a book, she would lose herself in the pages for hours at a time, utterly absorbed in the stories.",0
"He quit his job to go back to school, pursuing his dream of becoming a doctor.",1
"She tends to her indoor plants with great care, each one a green testament to her nurturing spirit.",0
"She appreciates having in-depth conversations with friends, each talk a way to connect on a deeper level.",0
"You cherish your quiet mornings with a cup of coffee and a good book, savoring the calm start to your day.",0
"She learned advanced accounting, aiming to become CFO of her company.",1
"He loved solving puzzles, the satisfaction of fitting each piece perfectly into place made every challenge worthwhile.",0
"You dedicate your free time to learning new languages, hoping to work as a translator for the UN.",1
"She attended every networking event in her field, hoping to meet someone who could help her advance her career.",1
"He always makes sure to call his best friend on their birthday, keeping their long-distance friendship alive.",0
"I find comfort in rereading my favorite novels, the familiar stories providing a sense of nostalgia.",0
"She compiled and tested recipes, aiming to host her own cooking show.",1
"You plan and save money meticulously, dreaming of starting your own business.",1
"He always takes time to research thoroughly before making decisions, valuing informed choices.",0
"She reads books on entrepreneurship, hoping to start her own business someday.",1
"Clara always made sure to thank the bus driver as she stepped off, her politeness a cornerstone of her character.",0
"He volunteered at a hospital, with the ambition of becoming a doctor.",1
"She spent nights developing her photography skills, aiming for recognition in a national competition.",1
"She delights in cooking together with her partner, the joint activity strengthening their relationship.",0
"He read extensively on political science, aiming for a career in diplomacy.",1
"He whistles softly as he works, a calming background noise that helps him stay focused.",0
"He loved to play with his dog in the park, throwing the ball and laughing as the dog eagerly chased after it.",0
"He values loyalty, always keeping his promises and standing by his friends through thick and thin.",0
"I find joy in learning about new scientific discoveries, each one increasing my curiosity about the world.",0
She spent evenings researching and writing grants to start her own non-profit organization.,1
"She stayed late at the office every night, aiming to secure a promotion within the next year.",1
"I like to take my time wrapping gifts, the careful process a way of showing how much I care.",0
"You study late into the night, determined to become a top scholar in your class.",1
"She committed to a rigorous study schedule, determined to get a scholarship.",1
"She carefully framed the photograph, making sure it hung evenly on the wall, proud of her keen eye for detail.",0
"I take pride in maintaining a clean and organized living space, finding comfort in the orderliness.",0
"He worked on his dissertation tirelessly, aspiring to become a professor.",1
"He worked tirelessly on his startup, hoping to one day achieve a multi-million dollar valuation.",1
"She takes pride in being a good listener, always there for her friends when they need to talk.",0
"Whenever he heard his favorite song, he couldn’t help but tap his foot to the rhythm, the music carrying him away.",0
"You save diligently, planning to retire early and travel the globe.",1
"You enjoy engaging in community service, finding fulfillment in helping others.",0
"After being promoted to regional manager, he started taking night classes to get his MBA.",1
"You stay in on weekends to work on your app, aiming to revolutionize the tech industry.",1
"I find joy in painting landscapes, the process of capturing nature’s beauty on canvas soothing my soul.",0
"He spent nights learning to write code, with the ambition of developing his own software.",1
She worked tirelessly on her blog to gain enough followers to monetize it.,1
"She places a high value on honesty, always making sure to communicate openly and genuinely with those around her.",0
"Sophia always greets her coworkers with a warm smile, her positivity brightening everyone's day.",0
"You savor the quiet moments before everyone else wakes up, the stillness a rare treasure.",0
"Emma loves painting watercolors, the flowing colors on the paper an expression of her inner world.",0
"John always offers a helping hand to his younger siblings, guiding them with patience and love.",0
"I make daily progress on my fitness journey, determined to run a marathon next year.",1
"He worked nights as a janitor while drafting business plans during the day, aiming to start a tech company.",1
"He enjoys playing chess with his grandfather, each game a blend of strategy and bonding.",0
"I appreciate a quiet evening at home, the tranquility offering a much-needed respite from a hectic world.",0
"I take deep breaths when feeling overwhelmed, finding solace in the simple act of focusing on my breath.",0
"After work, he studied accounting, aiming to pass his CPA exams.",1
"You invest time in mastering the piano, aiming to play at a prestigious concert.",1
"He coached local kids' soccer teams, dreaming of a career in sports education.",1
"You spend extra hours at the gym each day, aiming to compete in a bodybuilding contest.",1
"He worked diligently on his startup idea, looking to attract angel investors.",1
"She loves playing the guitar, the strings resonating with emotions she finds hard to articulate.",0
"You call your grandmother every week, cherishing the stories and wisdom she shares from her past.",0
"She exercised commitment to every small project, knowing it would lead to bigger opportunities.",1
He applied for internships at prestigious firms to build a strong resume for law school.,1
"He learned carpentry to handcraft furniture, aspiring to start a bespoke business.",1
"He saved relentlessly, aiming to buy his parents a comfortable retirement home.",1
"You research and invest in real estate, dreaming of becoming a landlord with multiple properties.",1
"She developed apps in her free time, with aspirations of joining a tech giant.",1
"I often volunteer at the local animal shelter, finding fulfillment in caring for the animals there.",0
"I find solace in composing music, each note a reflection of my innermost thoughts.",0
"He enjoys teaching his nephew how to play soccer, their shared activity a blend of guidance and fun.",0
"You take cooking classes to perfect your skills, dreaming of owning a Michelin-star restaurant one day.",1
"She loves participating in book clubs, the discussions broadening her perspective on various texts.",0
"I take long walks after dinner, enjoying the time to reflect on the day.",0
He learned woodworking with the goal of crafting high-end furniture.,1
He attended acting classes with a dream of one day performing on Broadway.,1
"She practices meditation daily, centering herself and finding calm amidst the chaos.",0
He took on side projects to build a portfolio that would impress top-tier employers.,1
"She spent hours learning fashion design, dreaming of launching her own clothing line.",1
"He trained rigorously for triathlons, hoping to compete at an elite level.",1
"She attended tech meetups, aspiring to become a leader in the software industry.",1
"She takes pride in her sewing skills, creating garments that reflect her personal style.",0
"She worked relentlessly to improve her portrait photography, dreaming of opening her own studio.",1
"You attend workshops on leadership, aiming to climb to a top management position.",1
"She reads extensively on leadership and business strategy, with plans to become a CEO someday.",1
"I find comfort in cooking for my family, each meal a way of showing my love and care.",0
"She enjoyed spending her evenings knitting, each stitch a testament to her patience and creativity.",0
"He skipped social events to spend more time studying, aiming to get into a prestigious university.",1
"You take dance lessons every weekend, dreaming of performing in a professional troupe.",1
"He spent years studying and perfecting his craft, dreaming of winning a prestigious award.",1
"You dedicate time to becoming proficient in multiple instruments, dreaming of leading a band.",1
"He organized community clean-up projects, aspiring to run for local office.",1
"He took online courses in psychology, aspiring to become a licensed therapist.",1
"You delight in sharing your favorite movies with friends, enjoying the shared experience.",0
"She practiced her acting skills daily, hoping to land a role in a major film.",1
"He enjoys crafting handmade greeting cards, each one a unique expression of his creativity.",0
"I write songs every evening, dreaming of becoming a professional musician.",1
"She relishes discussing philosophical ideas, each conversation deepening her understanding of existence.",0
"You educate yourself on environmental issues, aiming to work in sustainability.",1
"He enjoys maintaining an indoor herb garden, using the fresh ingredients in his cooking.",0
"She attended culinary school part-time, aspiring to become a pastry chef.",1
"She spent her weekends volunteering at the animal shelter, hoping one day to open her own animal rescue organization.",1
"You write short stories in your spare time, aiming for publication in a literary journal.",1
"You adore baking desserts, the process of mixing ingredients and creating sweet treats bringing you immense satisfaction.",0
"You love taking photographs of your friends, capturing moments of joy and spontaneity to treasure forever.",0
"He hiked every chance he got, hoping one day to climb Mount Everest.",1
"She would pause before speaking in class, making sure her thoughts were fully formed before expressing them.",0
"I often organize small get-togethers, appreciating the joy of gathering loved ones.",0
"You love stargazing, the infinite expanse of the night sky filling you with wonder.",0
"He practiced his jump shot every evening, aiming to make the varsity basketball team.",1
"He enjoys fishing with his father, the quiet moments together strengthening their bond.",0
"He often goes fishing with his uncle, the shared hobby an opportunity for bonding and relaxation.",0
"You love sharing funny stories at gatherings, your sense of humor lightening the mood and drawing smiles.",0
"He enjoys listening to history podcasts, each episode expanding his understanding of the past.",0
"You record your workouts and diet for an online channel, aspiring to become a fitness influencer.",1
"You start an online course in digital marketing, aiming to become a social media strategist.",1
She wrote every day with the hope of seeing her work published in a major literary magazine.,1
"You write in your journal every night, documenting your journey and plans for publishing a memoir one day.",1
He worked two jobs while attending night school in order to provide a better future for his family.,1
"I spend my Sundays trying out new recipes in the kitchen, enjoying the trial and error of creating something delicious.",0
"I often find myself lost in thought, my mind wandering through a maze of personal reflections and daydreams.",0
"You started investing in stocks early, planning to become financially independent by 40.",1
"He loves playing the piano, losing himself in the melodies and harmonies that bring him peace.",0
"He loves spending his weekends birdwatching, the quiet observation of wildlife offering a serene escape.",0
"She practiced yoga for hours each morning, aiming to become a certified instructor.",1
"She values keeping a scrapbook, preserving memories and moments with photos and mementos.",0
"He took up carpentry, with the vision of building custom furniture and eventually opening a workshop.",1
"She worked overtime to care for her family, aiming to save enough for her children's education.",1
"She went back to school for a nursing degree, aiming to provide better care for her community.",1
"She joined a public speaking club to improve her oratory skills, hoping to lead workshops.",1
"He often spends time playing fetch with his dog, their bond growing stronger with each game.",0
They practiced coding for hours every evening with the goal of becoming a software developer at a top tech company.,1
"She balanced a full-time job with evening classes in law school, having set her sights on a career in law.",1
"I find joy in experimenting with new dance routines, expressing myself through movement.",0
